,Ncondezi,Revobue,Zambeze,Beacon Hill,Benga,Moatize
2012,,,,0.05,4,6
2013,,,,4,11,11
2014,8,,6,4,20,26
2015,8,8,20,4,20,26
2016,15,8,30,4,20,26
2017,15,8,39,4,20,26
2018,15,8,39,4,20,26
2019,15,8,39,4,20,26
2020,20,17,45,4,20,26
2021,20,17,45,4,20,26
2022,20,17,45,4,20,26
2023,20,17,45,4,20,26
2024,20,17,45,4,20,26
2025,20,17,45,4,20,26
2026,20,17,45,,20,26
2027,20,17,45,,20,26
2028,20,17,45,,20,26
2029,20,17,45,,20,26
2030,20,17,45,,20,26
